segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
42542368,42542606,FEM,4.72,1.91,1.22,20220624_140959_025480_2.txt
42551489,42552014,MAL,6.02,2.57,1.7,20220624_140959_025480_2.txt
42555009,42555898,FEM,7.22,3.07,2.16,20220624_140959_025480_2.txt
42555205,42555549,MAL,3.69,1.28,0.9,20220624_140959_025480_2.txt
42560959,42562010,MAL,9.33,4.12,2.84,20220624_140959_025480_2.txt
42564261,42567992,MAL,27.97,12.92,9.29,20220624_140959_025480_2.txt
42572203,42572350,FEM,6.67,3.02,1.85,20220624_140959_025480_2.txt
42576511,42578511,FEM,14.3,6.58,4.65,20220624_140959_025480_2.txt
42579105,42579491,MAL,9.02,4.23,2.68,20220624_140959_025480_2.txt
42583094,42584451,FEM,12.67,5.97,4.01,20220624_140959_025480_2.txt
42583271,42584074,MAL,7.78,3.46,2.33,20220624_140959_025480_2.txt
42585445,42586927,FEM,13.43,6.28,4.28,20220624_140959_025480_2.txt
42585667,42586087,MAL,6.9,3.07,1.98,20220624_140959_025480_2.txt
42587345,42597887,FEM,78.56,39.3,27.45,20220624_140959_025480_2.txt
42607181,42610971,MAL,28.66,14.14,9.69,20220624_140959_025480_2.txt
42611493,42612669,FEM,10.18,4.64,3.09,20220624_140959_025480_2.txt
42614512,42617511,MAL,20.47,9.58,6.88,20220624_140959_025480_2.txt
42620008,42621967,FEM,13.87,6.4,4.51,20220624_140959_025480_2.txt
42632015,42632324,FEM,9.42,4.49,2.8,20220624_140959_025480_2.txt
42632492,42632671,FEM,10.44,5.11,3.11,20220624_140959_025480_2.txt
42657820,42658654,MAL,7.53,3.24,2.26,20220624_140959_025480_2.txt
42660078,42660761,MAL,6.55,2.77,1.91,20220624_140959_025480_2.txt
42665493,42668023,MAL,22.39,11.0,7.44,20220624_140959_025480_2.txt
42676492,42677343,FEM,10.4,4.86,3.22,20220624_140959_025480_2.txt
42682894,42686490,MAL,26.66,12.69,9.04,20220624_140959_025480_2.txt
42693328,42695960,FEM,20.8,9.88,6.82,20220624_140959_025480_2.txt
42699580,42699825,FEM,6.29,2.79,1.74,20220624_140959_025480_2.txt
42700544,42701511,MAL,13.29,6.45,4.15,20220624_140959_025480_2.txt
42702039,42703343,MAL,8.99,3.93,2.82,20220624_140959_025480_2.txt
42702878,42703403,FEM,4.04,1.46,1.04,20220624_140959_025480_2.txt
42705510,42707010,FEM,11.66,5.22,3.69,20220624_140959_025480_2.txt
42710993,42712512,FEM,11.39,5.32,3.61,20220624_140959_025480_2.txt
42714096,42714282,FEM,6.0,2.64,1.64,20220624_140959_025480_2.txt
42718008,42719350,FEM,12.87,6.1,4.02,20220624_140959_025480_2.txt
42721602,42722512,FEM,9.16,4.0,2.71,20220624_140959_025480_2.txt
42721999,42725538,MAL,27.86,13.25,9.22,20220624_140959_025480_2.txt
42726908,42727011,MAL,10.5,5.14,3.12,20220624_140959_025480_2.txt
42727011,42732718,FEM,44.53,21.48,14.93,20220624_140959_025480_2.txt
42728845,42729817,MAL,9.54,4.1,2.84,20220624_140959_025480_2.txt
42734512,42736490,MAL,16.09,7.84,5.3,20220624_140959_025480_2.txt
42738992,42743493,FEM,33.75,15.85,11.14,20220624_140959_025480_2.txt
42747510,42749494,FEM,21.07,10.31,6.7,20220624_140959_025480_2.txt
42751071,42753987,MAL,21.8,10.5,7.31,20220624_140959_025480_2.txt
42755492,42756496,FEM,6.04,2.18,1.74,20220624_140959_025480_2.txt
42755992,42759990,MAL,33.19,16.27,11.02,20220624_140959_025480_2.txt
42760636,42762492,MAL,15.17,7.13,4.87,20220624_140959_025480_2.txt
42762992,42765132,MAL,15.63,7.41,5.12,20220624_140959_025480_2.txt
42766491,42771975,FEM,40.45,19.19,13.53,20220624_140959_025480_2.txt
42768194,42770536,MAL,16.16,7.27,5.23,20220624_140959_025480_2.txt
42771589,42775992,MAL,28.16,12.87,9.57,20220624_140959_025480_2.txt
42777561,42780011,MAL,19.66,9.0,6.25,20220624_140959_025480_2.txt
42779991,42781570,FEM,12.13,5.62,3.86,20220624_140959_025480_2.txt
42780734,42780928,MAL,4.34,1.7,1.09,20220624_140959_025480_2.txt
42781100,42781679,MAL,7.3,3.27,2.14,20220624_140959_025480_2.txt
42781937,42782288,MAL,5.75,2.45,1.58,20220624_140959_025480_2.txt
42782511,42793976,MAL,81.8,39.77,28.26,20220624_140959_025480_2.txt
